,Odds ratios,std err,z,P>|z|,[0.025,0.975]
revenue,1.001965429,0.000799688,2.457743982,0.014,1.000414034,1.003516825
mou,0.999719175,4.96E-05,5.657881015,0,0.999622885,0.999815466
recchrge,0.996882353,0.000885995,3.518808273,0,0.995163522,0.998601184
directas,0.998804952,0.005931613,0.201470945,0.84,0.987297622,1.010312282
overage,1.000760539,0.000280627,2.710144658,0.007,1.000216123,1.001304955
roam,1.00711642,0.002078247,3.424241659,0.001,1.003084621,1.011148218
changem,0.999508188,5.35E-05,9.196371457,0,0.999404439,0.999611937
changer,1.002306041,0.000369595,6.239373562,0,1.001589027,1.003023055
dropvce,1.011402428,0.007336509,1.554203434,0.12,0.9971696,1.025635256
blckvce,1.006423029,0.007203464,0.891658288,0.373,0.992448308,1.02039775
unansvce,1.00092194,0.000448229,2.056852949,0.04,1.000052377,1.001791504
custcare,0.99406691,0.002537422,2.338235516,0.019,0.989144311,0.998989508
threeway,0.970167016,0.010918883,2.732237617,0.006,0.948984383,0.99134965
mourec,1.000133924,0.000131602,1.017641468,0.309,0.999878616,1.000389232
outcalls,1.00111945,0.000591238,1.893398147,0.058,0.999972447,1.002266452
incalls,0.996898224,0.001054446,2.941615723,0.003,0.994852599,0.99894385
peakvce,0.999330584,0.00021884,3.058930337,0.002,0.998906034,0.999755133
opeakvce,0.999792032,0.000265631,0.782920104,0.434,0.999276708,1.000307356
dropblk,0.99689016,0.007017193,0.443174377,0.658,0.983276806,1.010503514
callfwdv,0.99736093,0.023091174,0.114289105,0.909,0.952564053,1.042157808
callwait,1.002086844,0.00314711,0.663098368,0.507,0.99598145,1.008192237
months,0.978940761,0.001956087,10.76600483,0,0.975145953,0.982735569
uniqsubs,1.202476626,0.024033743,8.424681423,0,1.155851165,1.249102086
actvsubs,0.814062121,0.022717738,8.184700457,0,0.769989709,0.858134532
phones,1.049866382,0.019074854,2.614247068,0.009,1.012861165,1.086871599
models,1.013892202,0.028258768,0.491606782,0.623,0.959070192,1.068714211
eqpdays,1.001442723,7.48E-05,19.29526488,0,1.001297668,1.001587779
age1,0.996702004,0.000869416,3.793343762,0,0.995015336,0.998388672
age2,0.998832307,0.000679243,1.719107662,0.086,0.997514575,1.00015004
children,1.099166477,0.030938656,3.20526129,0.001,1.039145484,1.15918747
credita,0.836879945,0.029711299,5.490168992,0,0.779240024,0.894519866
creditaa,0.695831028,0.024061217,12.64146263,0,0.649152267,0.742509788
prizmrur,1.068753574,0.052972603,1.297908168,0.194,0.965986724,1.171520424
prizmub,0.961141509,0.023458211,1.656498512,0.098,0.915632581,1.006650438
prizmtwn,1.047307271,0.032934668,1.436397381,0.151,0.983414015,1.111200526
refurb,1.263698098,0.040385325,6.529552494,0,1.185350568,1.342045628
webcap,0.855449675,0.032131936,4.498649681,0,0.793113718,0.917785631
truck,1.027255086,0.036979905,0.737024224,0.461,0.95551407,1.098996101
rv,1.011929559,0.048584951,0.245540203,0.806,0.917674754,1.106184363
occprof,0.980326762,0.031863585,0.617420725,0.537,0.918511407,1.042142117
occcler,1.040282262,0.077926234,0.516928119,0.605,0.889105367,1.191459156
occcrft,0.980068916,0.06164168,0.323337783,0.746,0.860484056,1.099653775
occstud,1.127467814,0.137409821,0.927647043,0.354,0.860892761,1.394042867
occhmkr,1.291581306,0.245501692,1.187695712,0.235,0.815308025,1.767854588
occret,0.960857737,0.087006282,0.449878585,0.653,0.792065549,1.129649925
occself,0.931859638,0.075102466,0.907298587,0.364,0.786160854,1.077558423
ownrent,1.002557258,0.042829895,0.059707311,0.952,0.919467262,1.085647254
marryun,1.114947509,0.037937868,3.0298885,0.002,1.041348046,1.188546973
marryyes,1.057279204,0.034348541,1.667587676,0.095,0.990643034,1.123915374
mailord,1.000768966,0.085718349,0.008970839,0.993,0.834475368,1.167062563
mailres,0.878346818,0.075575852,1.609683236,0.107,0.731729666,1.024963971
mailflag,0.952961032,0.080474304,0.584521586,0.559,0.796840883,1.109081182
travel,0.999468156,0.047295346,0.011245161,0.991,0.907715184,1.091221128
pcown,1.034767834,0.032036514,1.085256477,0.278,0.972616997,1.096918671
creditcd,1.04291424,0.045589528,0.941317912,0.347,0.954470555,1.131357925
retcalls,1.012106793,0.185894523,0.065127219,0.948,0.651471418,1.372742168
retaccpt,0.879978525,0.09472259,1.267083973,0.205,0.696216701,1.063740349
newcelly,0.931895784,0.025417139,2.67946036,0.007,0.882586535,0.981205033
newcelln,0.994928406,0.031368629,0.161677247,0.872,0.934073265,1.055783547
refer,0.951204659,0.040087366,1.217224945,0.224,0.87343517,1.028974148
incmiss,0.912551123,0.05481098,1.595462767,0.111,0.806217822,1.018884423
income,0.986842561,0.005955189,2.209407321,0.027,0.975289493,0.998395628
mcycle,1.130099021,0.10056179,1.293722213,0.196,0.935009149,1.325188893
setprcm,0.90817295,0.036793365,2.495750266,0.013,0.836793822,0.979552078
setprc,1.000620543,0.000282901,2.193501484,0.028,1.000071716,1.001169371
retcall,2.211559027,0.430329118,2.815424234,0.005,1.376720538,3.046397515
